VIN,ENGINE_DESC,TRANSMISSION_DESC,BODY_STYLE,PLATFORM,REPAIR_AGE,KM,CUSTOMER_VERBATIM,CORRECTION_VERBATIM,CAUSAL_PART_NM,TRANSACTION_CATEGORY,TOTALCOST,LBRCOST,REPORTING_COST,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION
1HR49XEY0RF190021,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1","BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",Crew Cab,Full-Size Trucks,5,10261,STEERING WHEEL TRIM AS PER LAST REPAIR ORDER,NECESSARY TO REPLACE STEERING WHEEL SPOKE COVER AND RETEST. OK,APPLIQUE ASM-STRG WHL TR SPOKE CVR *JET BLACK,FREG,403.63,86.79,315.63,SummitStar Motors,LAKE CHARLES,LA,1
1HR19SEY5RF265525,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1","BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",Crew Cab,Full-Size Trucks,1,9021,"CHECK AND REPORT STEERING WHEEL ONLY STAYS LUKE WARM, AND DOESNT WORK AFTER 5 MIN OR SO-it won't turn on","DIAGNOSIS OF OPEN CIRCUIT INSIDE WHEEL. REPLACE STEERING WHEEL ( 0130 .3+ .4= .7 HRS ),Steering Wheel Replacement GM PREAUTH# 498654000000",WHEEL ASM-STRG *JET BLACK,FREG,457.98,83.26,405.29,VelocityEdge Auto,MISSISSAUGA,ON,1
1HCFYEEL0NZ210174,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",Crew Cab,Full-Size Trucks,23,35452,STEERING WHEEL LEATHER IS LOOSE ON BOTTOM,REMOVE AND REPLACE STEERING WHEEL DUE TO LEATHER DEFECT.,WHEEL ASM-STRG *JET BLACK,FREG,787.93,66.47,259.93,TruePeak Motors,GRAND RAPIDS,MI,1
1HCFDEED0NZ543303,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,15,35201,C/S: CLIENT STATES STEERING WHEEL PULLING APART INSTALL SOPSTEERING WHEEL PRE AUTH IN HISTORY,REMOVED AND REPLACED STEERING WHEEL ASSEMBLY.,WHEEL ASM-STRG *JET BLACK,FREG,514.0,77.1,514.0,Sterling Auto Traders,NEW CASTLE,DE,1
1HCRYDED2NZ208869,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 8 SPD, 8L90, ATSS, CPA, GEN 1",Extended Cab,Full-Size Trucks,23,26802,"CUSTOMER REPORTS AFTER HEATED STEERING WHEEL RETROFIT, STEERING WHEEL IS OFF CENTRE NOW. CHECK AND ADVISE / /",TEST DROVE AND CONFIRMED CUSTOMER COMPLAINT BROUGHT IN SCANNED AND CHE CKED BULLETINS REQUIRE MORE TIME TO REMOVE AIR BAG ANDLOOKAT STEERIN G WHEEL AUTH C. J. 1327 JAN 23 2023 ST APPROX 1.0 DISABLED SRS SYSTEM REMOVED AIR BAG AND STEERING WHEEL FOUNDSTEERINGWHEEL IS OFF CENTER REPAIRED SPLINES IN ORDER TO GET STEERING WHEEL LINED UP LINED STEERIN G WHEEL UP WITH WHERE STEERINGWHEEL ISKEYED PUT BACK ON TORQUED TO S PECIFICATION PUT AIR BAG BACK TEST DROVE AND CONFIRMED STEERING WHEEL IS NOW STRAIT NOT ASSTRAITON SOME ROADS DEPENDING ON ROAD CROWN,,FREG,127.98,127.98,121.88,NovaCar Sales,KELOWNA,BC,1
5HAERBKW0LJ197079,"GAS, 6 CYL, V6, 3.6L, SIDI, DOHC, ATSS, GEN 1+","TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",4 Door Utility,Crossover SUV,49,39870,C.S STEERING WHEEL STITCHING SEEMS TO BE COMING APART ON TOP RIGHT HAN D CORNER,REPLACED STEERING WHEEL,WHEEL ASM-STRG *BLACK,FREG_POL,200.0,68.86,200.0,Crestline Auto Co.,HOUSTON,TX,1
1HYKSDRS0SZ164445,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2","TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",4 Door Utility,Global Crossover Vehicles,9,9090,CUSTOMER STATES INSTALLED STEERING WHEEL,PRE APPROVAL NUMBER 496720400000 HEATED STEERING WHEEL LIGHT NOT WORKI NG TRACE TO FAULTY LIGHT IN SWITCH REPLACE STEERING WHEEL.,WHEEL ASM-STRG *BLACK,FREG,,81.85,1712.85,GoldenGate Motors,WILMINGTON,DE,1
1H1JD5SB0L4142407,"GAS, 4 CYL, 1.4L, MFI, DOHC, TURBO, VVT, ALUM, GME E85 MAX","BYT 6 SPD, HMD, X23F",4 Door Sedan,Global Gamma Vehicles,39,9109,CS THE STEERING WHEEL IS PEALING AND SEPARATING-INSTALL SOP REFER TO RO 412613,replace steering wheel sop ordered on ro 412613,WHEEL ASM-STRG *JET BLACK,FREG_POL,412.41,62.4,412.41,LuxeLine Auto,WEST MIFFLIN,PA,1
1HYKN9RS3NZ156257,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2","TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",4 Door Utility,Global Crossover Vehicles,13,29915,STEERING WHEEL MOLDING CAME OFF,"STEERING WHEEL COVER REPLACEMENT PART IN BACKORDER, ORDER CONTROL 36683082",COVER-STRG WHL SPOKE *HI GLOSS V-C,FREG,960.87,22.93,828.34,Riverstone Car Sales,LEON,GJ,1
1HRS9EED9MZ268771,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",Crew Cab,Full-Size Trucks,35,80805,"C/S THE STEERING WHEEL IS PEELING IN SOME AREAS. CUSTOMER REQUEST ASSI STANCE TO REPLACE STEERING WHEEL. APPROVED, SOP HERE",REPLACED STEERING WHEEL ASSEMBLY. CUSTOMER TO PAY WARRANTY DEDUCTIBLE,WHEEL ASM-STRG *BLACK,FREG_POL,143.68,70.76,143.68,PrimeEdge Motors,CLEARWATER,FL,1
1HKS2JKL7SR422793,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",4 Door Utility,Full-Size Utility,5,12323,"CUST STATES THE STITCHING ON STEERING WHEEL IS LOOSE, PLEASE CHECK AND ADVISE.",Replaced steering wheel,WHEEL ASM-STRG *FAWN,FREG,963.92,56.55,963.92,Platinum Peak Auto,TAYLOR,MI,1
1HYKNHRS5NZ163005,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2","TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",4 Door Utility,Global Crossover Vehicles,16,26760,CUSTOMER STATE BEZEL ON STEERING WHEEL IS COMING APART. PART ORDERED A ND IN STOCK FOR INSTALL,REPLACED COVER,COVER-STRG WHL SPOKE *HI GLOSS V-C,FREG,697.51,65.86,697.51,SilverRidge Motors,FAIRFIELD,OH,1
3HCFYHED7NH206711,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 8 SPD, 8L90, ATSS, CPA, GEN 1",Crew Cab,Full-Size Trucks,21,31458,"CUSTOMER STATES THAT THE CRUISE CONTROL IS NOT WORKING, CUSTOMER STATES THAT THEY WILL ENABLE THE CRUISE CONTROL USING THE BUTTONBUT THE VEHICLE WILL NOT HOLD THE SPEED. PLEASE ADVISE OK PART WARRANTY REFER TO PREVIOUS REPAIR ORDER 27724 1.16.24 @ 19373 MILES.OK REPLACEMENT OF COMPLETE STEERING WHEEL VS. SWITCH ONLY REPLACEMENT TO ENSURE INTEGRITY OF REPAIR MIKE A. 1.26.24 @ 11:04 AM PRASUBMITTED AND APPORVED FOR REPLACEMENT OF STEERING WHEEL PRA # 496887800000 MIKE A. 1.26.24 @ 11:48 AM OK R AUTHORIZATION FORREPEAT REPAIR, PART CONCERN NO TECH ERROR MIKE A.","REPLACED STEERING WHEEL AND RETESTED OPERATION, VERIFIED ALL STEERING WHEEL SWITCHES OPERATING AS INTENDED. 19547-19550 MT",WHEEL ASM-STRG *JET BLACK,FREG,250.47,77.69,250.47,WestBay Auto Traders,TEMECULA,CA,1
1H1FW6S02N4102661,NONE,"BYT, ELECTRIC, GM, GEM, GEN 2, DRIVE UNIT, X68F",4 Door Sedan,Global Gamma,31,59355,HEATED VOLAN DEVARQUE BY ITSELF INTERMITTENT CUSTOMER MUST RETURN THEM,REPLACE HEATED STEERING MODULE,MODULE ASM-STRG WHL HT CONT,FREG,124.57,102.14,108.35,SunsetDrive Motors,BERTHIERVILLE,PQ,1
1HYFZFR46SF102560,"GAS, 4 CYL, L4, 2.0L, SIDI, DOHC, VVT, ALUM, TURB O, VAR 3","BYT 9 SPD, 9T50, ETRS GEN 1",4 Door Utility,GLOBAL EPSILON II,16,24304,#UPDATE#CUSTOMER STATES VEHICLE'S STEERING WHEEL WAS SMOKING OUT OF THERIGHT SIDE OF WHEEL AND AFTER STEERING WHEEL HEATER WAS SHUTOFF SMOKING STOPPED. PLEASE CHECK AND ADVISE.C/S: SOP INSTALL PARTS HERE PER DREW H. - HISTORY RO 431014 - STEERING WHEEL -CUSTOMERTO SEE ROB C.,"installed steering wheel from last visit, tested all functions, everything is fine now",WHEEL ASM-STRG *JET BLACK,FREG,394.32,201.15,394.32,EagleWing Auto Sales,RENO,NV,1
1H1FZ6S01N4111553,NONE,"BYT, ELECTRIC, GM, GEM, GEN 2, DRIVE UNIT, X68F",4 Door Sedan,Global Gamma,17,40734,CUSTOMER STATES HEATED STEERING WHEEL IS NOT WORKING,DIAGNOSE HEATED STEERING WHEEL DOES NOT GET WARM WITH NO CODES SETTING . TEST AND FOUND BUTTON LIGHTS WHEN DEPRESSED AND GOES OFFRIGHT AWAY. VERIFY FUSE F26DA IS GETTING POWER. REMOVE AIRBAG ASSEMBLY AND VERIFY POWER TO HEATED STEERING MODULE. DISSASEMLBEAND TEST CIRCUITS FOR ST EERING WHEEL HEATER AND FOUND HEATER CIRCUIT OPEN. REASSEMBLE AND ORDE R NEW STEERING WHEEL ASSEMBLY.INSTALL NEW STEERING WHEEL AT 2ND VISIT AND VERIFY PROPER OPERATION.,WHEEL ASM-STRG *JET BLACK,FREG,603.59,191.16,579.72,RoadKing Car Traders,LANCASTER,PA,1
1H1FZ6S08N4104213,NONE,"BYT, ELECTRIC, GM, GEM, GEN 2, DRIVE UNIT, X68F",4 Door Sedan,Global Gamma,19,24507,CUSTOMER STATES SUPERCRUISE DOES NOT WORK. DIAGNOSE AND ADVISE.,"C-S SUPER CRUISE INOP. VERIFIED SUPER CRUISE IS INOP. SCAN DTC'S. B290 A FLOW CHART DOC ID #4862361 - VERIFIED NO OTHER DTC'S SETINACTIVE S AFETY CONTROL MODULE, AND HAS COMMUNICATION. CLEARED DTC. DTC B290A RE SETS. REPLACE STEERING WHEEL. CLEAR DTC TESTDROVE.NO DTCS SETTING AT THIS TIME. CRUISE IS WORKING. NOT IN AN AREA FOR SUPERCRUISE. DIAGNOS IS ON RO 142670",WHEEL ASM-STRG *JET BLACK,FREG,1656.85,151.92,1655.49,NovaDrive Motors,VILLA PARK,IL,1
1HC4YSEY6SF164779,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1","BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",Crew Cab,Full-Size Trucks,14,16932,ck heated steering wheel inop,0130/0.4/0.3 total/0.7 replace steering.wontheat up,WHEEL ASM-STRG *VERY DARK AT,FREG,513.95,158.65,513.95,GrandView Auto Sales,SIMI VALLEY,CA,1
3HNKBKRSXSS106498,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2","BYT 9 SPD, 9T65, GEN 1",4 Door Utility,Crossover SUV,4,5248,Customer Complaint Steering wheel has buble under leather,"1replaced steering wheel, all ok","WHEEL,STRG *JET BLACK",FREG,362.69,40.15,320.96,ApexStreet Auto,KAPUSKASING,ON,1
1H1FF1R79N0134651,"GAS, 8 CYL, 6.2L, DI, AFM, VVT, HO, ALUM, GMNA","BYT 10 SPD, 10L80, GRX, VAR 1, GEN 1",2 Door Coupe,Alpha,18,16169,C/S STEERING WHEEL COVER LOOSE AND MOVING.,REPLACED STEERING WHEEL FOR COVER BEING LOOSE INSIDE.,WHEEL ASM-STRG *JET BLACK,FREG,687.11,244.54,687.11,UrbanShore Motors,SANFORD,FL,1
1HYS4RKL3SR469754,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",4 Door Utility,Full-Size Utility,2,3801,Rear wiper not working cust thawed out veh and jiggled the control arm a couple times then it worked after trying several timescustthinks signal is not getting fromn front to back wiring Cust has a video of the process he performed Diagnose report,Diagnose and report rear wipers inop test and found dtcs u1134u0131u1615b19f2 u1103 u1132 Check lin bus value fixed at 6 voltsnottoggling --remove rear panels and disconnect rear 3 row seat not working and rear wiper still has lin bus issue ---recheckvoltagestill stuck at 6 volts ---called tac opened case 9-11734286785 spoke with josh ---after following diagnostics for b19f2 sym00 itsaid follow other dtcs first ----he corrected issue by saying to diagnose b19f2 first ---diagnosis lead to replacement ofheatedsteering wheel ---order part ---re assemble all loose panels ----install steering wheel and clear dtcs test all acc all ok,WHEEL ASM-STRG *BLACK,FREG,1335.14,61.95,1181.54,BlueLine Auto Traders,PEMBROKE,ON,1
3HRFFHEL3SH345370,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,4,4004,"CUST STATES THE STEERING WHEEL STITCHING IS COMING APART, PLEASE CHECK AND ADVISE.",REPLACED STEERING WHEEL ASSEMBLY UNDER WARRANTY DUE TO MANFACTURER DEFECT. COMPLETE.,WHEEL ASM-STRG *VERY DARK AT,FREG,474.01,72.84,474.01,SwiftEdge Car Sales,CONWAY,AR,1
3HRF9EER4MH149522,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V","BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",Crew Cab,Full-Size Trucks,39,61234,GUEST STATES STEERING WHEEL INSERTS RIGHT AND LEFT ARE PEELING (SOP HE RE),VERIFIED CONCERN REPLACED STEERING WHEEL SPOKE COVER,APPLIQUE ASM-STRG WHL TR SPOKE CVR *VULCAN,FREG_POL,389.71,135.54,389.71,RoyalAuto Traders,SUNRISE,FL,1
1HRS8DED5MZ161956,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 8 SPD, 8L90, ATSS, CPA, GEN 1",Crew Cab,Full-Size Trucks,33,38285,ELECTRICAL SYSTEM C S CUSTOMER STATES CRUZE CON TROL DOES NOT WORK PROPERLY YOU CAN T SEE HOW MUC H SPEED YOU AREADDINGORDECREASINGAS WELL VEH ICLE DOES NOT ADJUST SPEED WHILE HAVING A VEHICLE IN FRONT,Replaced Steering Wheel Horn Switch Wiring Harness and clock spring and Steering Wheel Airbag Coil Verified thatsteeringwheelvolumeand radio controls were working and they are now working as designed Customers concern was addressed LABOR CODE0020ST,HARNESS ASM-STRG WHL HORN SW WRG,FREG,674.27,500.07,674.27,CrestRidge Motors,LAREDO,TX,1
1HNSKDKD4NR281286,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",4 Door Utility,Full-Size Utility,21,55915,8 INFO: INFORMATION Customer states vehicle steering wheel is making a clicking noise and rattling while driving.,replaced loose applique,APPLIQUE ASM-STRG WHL TR SPOKE CVR *SYNTHESIS,FREG,121.14,96.36,121.14,HorizonWheel Auto,METAIRIE,LA,1
3HRFFCER2NH609121,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V","BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",Crew Cab,Full-Size Trucks,15,42217,CUSTOMER STATES HEATED STEERING WHEEL ONLY GETS LUKEWARM NOT HOT.,REMOVED OLD STEERING WHEEL AND INSTALLED NEW ONE. TRIED NEW STEERING WHEEL AND NEW ONE HEATS PROPERLY. ALL OKAY NOW...,WHEEL ASM-STRG *BLACK,FREG,535.75,90.83,474.12,BlueStream Motors,SUDBURY,ON,1
1H6DC5RK2L0132064,"GAS, 4 CYL, L4, 2.0L, SIDI, DOHC, VVT, ALUM, TURB O, VAR 3","BYT 8 SPD, 8L45, BAS+",4 Door Sedan,Luxury Car-2,46,13580,SOP IS IN PER CUSTOMER THE LEATHER WRAP ON THE BACK OF STEERING WHEEL IS LOOSE SOP IS IN APPROVED BY PRA,CORR- (0130) REPLACE STEERING WHEEL,WHEEL ASM-STRG *JET BLACK,FREG,,108.0,394.83,LibertyPeak Auto Sales,GLENDALE,AZ,1
5HAERDKW8SJ224112,"GAS, 6 CYL, V6, 3.6L, SIDI, DOHC, ATSS, GEN 1+","TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",4 Door Utility,Crossover SUV,3,4728,Customer states STEERING WHEEL COVER COMING OFF ON BOTTOM SIDE OF STEERING WHEEL,REPLACED STEERING WHEEL,WHEEL ASM-STRG *JET BLACK,FREG,608.01,58.43,608.01,Platinum Road Traders,LUFKIN,TX,1
1HKS2CKL2NR279082,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",4 Door Utility,Full-Size Utility,21,55638,CUSTOMER STATES THAT THE HEATED STEERING WHEEL INTERMITTENTLY DOES NOT WORK / STATES THAT THE LIGHT DOES NOT ILLUMINATE AT ALL ANDTHE STEER ING WHEEL DOES NOT HEAT---PLEASE ADVISE (CUSTOMER SHOWED ADVISOR A VID EO OF IT HAPPENING),CHECKED AND FOUND CODE -B1A4C-92-HEATED STEERING WHEEL - PERFORMANCE. CHECKED AND FOUND POWER GROUND AND SIGNAL GOING TO HEATEDSTEERING WHE EL. REMOVED AND REPLACED STEERING WHEEL CLEARED CODES AND RECHECKED.,"WHEEL ASM,STRG",FREG,365.36,129.06,365.36,CityEdge Auto Sales,SCOTTSDALE,AZ,1
3HRFFCER0NH647253,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V","BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",Crew Cab,Full-Size Trucks,17,56950,CUST STATES STEERING WHEEL DOES NOT HEAT UP COMPLETELY ONLY ONE SMALL SPOT SOP IN,replaced steering wheel and retest system operating as designed at this time preauth 494643400000,WHEEL ASM-STRG *JET BLACK,FREG,551.25,100.17,551.25,GoldStar Motors,ORLANDO,FL,1
3HCFDHEL2SH305075,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,7,2428,LEATHER ON STEERING WHEEL COMING LOOSE ON BOTTOM.,方向盘底部的皮革脱落了。拆下方向盘并更换新的。CC：0890 FC：2039PRA#490428700000 人工 OP：0130 0.50 人工,WHEEL ASM-STRG *JET BLACK,FREG,475.85,64.71,475.85,SummitDrive Car Sales,JOPLIN,MO,1
1H1FY6S0XN4126832,NONE,"BYT, ELECTRIC, GM, GEM, GEN 2, DRIVE UNIT, X68F",4 Door Sedan,Global Gamma,18,25178,Customer states the heated steering wheel does not work,Replaced steering wheel,MODULE ASM-STRG WHL HT CONT,FREG,126.63,42.62,126.63,Redstone Auto Co.,SALEM,OR,1
1HCFDEEL5SZ298766,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,3,8991,"CUSTOMER STATES HEATED STEERING WHEEL WONT HEAT UP, LIGHT WONT TURN ON","PERFORMED CIRCUIT/ SYSTEM VERIFICATION AND TESTING PER DOC ID-5316968. LEAD TO REPLACE STEERING WHEEL HEATER, SERVICE ASSTEERINGWHEEL ASSEMBLY. REMOVE AND REPLACE STEERING WHEEL ASSEMBLY, CLEARED DTCS AND VERIFIED OPERATION OF THE STEERING WHEELHEATER.0130 .5",WHEEL ASM-STRG *VERY DARK AT,FREG,622.24,88.8,484.24,EaglePeak Motors,SANDUSKY,OH,1
3HCFDHELXSH293533,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,5,15886,C/S: steering wheel bubbling please refrence ro 400375 for pra auth 494226600000,Removed steering wheel following service information procedure and replaced steering wheel with new assembly and confirmed allfunctions work as designed Labor code 0130 Labor time .5 no diag time,WHEEL ASM-STRG *JET BLACK,FREG,490.17,79.12,490.17,Westwood Auto Sales,NORFOLK,VA,1
5HAERAKW0MJ183761,"GAS, 6 CYL, V6, 3.6L, SIDI, DOHC, ATSS, GEN 1+","TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",4 Door Utility,Crossover SUV,34,59272,"Customer states right side of steering is peeling, auth # 494344600000","ACCESSED, REMOVED AND REPLACED THE STEERING WHEEL. THE SYSTEM IS NOW OPERATING AS DESIGNED. LABOR OP0130 TIME UNITS (TU) .7.",WHEEL ASM-STRG *BLACK,FREG_POL,440.06,91.88,402.06,TitanEdge Motors,SHERMAN OAKS,CA,1
2HC4YFE74R1152517,"GAS, 8 CYL, 6.6L, SIDI, VVT, CAST IRON","BYT 10 SPD, RWD 4.54 1ST, 2.86 2ND, 2.06 3RD, 1.7 1 4TH, 1.48 5TH, 1.26 6TH, 1.00 7TH, 10L",Crew Cab,Full-Size Trucks,2,6428,CUSTOMER STATES STEERING WHEEL BOTTOM IS LOOSE,REPLACED STEERING WHEEL.,WHEEL ASM-STRG *JET BLACK,FREG,319.43,55.46,319.43,CrystalWheels Auto,GRAND RAPIDS,MN,1
3HCSY9EL8NH181074,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",Crew Cab,Full-Size Trucks,17,48548,Customer states steering wheel de-laminating,remove and replace steering wheel,WHEEL ASM-STRG *JET BLACK,FREG,458.56,68.66,458.56,VictoryDrive Motors,SOMERTON PARK,SA,4
1H1FZ6S06N4112021,NONE,"BYT, ELECTRIC, GM, GEM, GEN 2, DRIVE UNIT, X68F",4 Door Sedan,Global Gamma,15,27882,"CUSTOMER STATES HEATED STEERING WHEEL IS NOT WORKING, INSPECT AND ADVISE.",REPLACED STEERING WHEEL AND TORQUED ALL BOLTS TO SPEC. CHECKED OPEATION AND HEATED WHEEL NOW IS OPERATION.,WHEEL ASM-STRG *JET BLACK,FREG,512.28,100.1,512.28,SilverShore Car Traders,POST FALLS,ID,1
1HNSKRKL5SR469158,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",4 Door Utility,Full-Size Utility,5,491,INSTALL SOP. Customer states THE STITCHING ON THE STEERING WHEEL IS COMING LOOSE. PRA ACCEPTED PRE-AUTHORIZATION NUMBER 493070000000,R&R STEERING WHEEL.,WHEEL ASM-STRG *JET BLACK,FREG,388.02,96.93,388.02,DiamondEdge Auto,BOLINGBROOK,IL,1
1HKS2JKL0SR471303,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",4 Door Utility,Full-Size Utility,3,3246,CUSTOMER STATES SUPER CRUISE INOPERATIVE.,test drove and duplicated customers concern. found super cruise inop. found dtc b19f2 00 heated steering wheel module code in imageprocessing module. found doc id 6270800 found code was current and would not clear. found new wheel will be needed. reached out totac and found issue to be steering wheel/module. part on order. PRA 495999100000 2/2/2024 replaced steering wheel/module andcleared codes. performed test drive on i-95 and found super cruise to be fully functional after repairs.,WHEEL ASM-STRG *JET BLACK,FREG,1268.82,69.8,1268.82,LuxeWheel Motors,DANVERS,MA,1
1HYKSMRK4SZ003287,NONE,NONE,4 Door Utility,BEV,9,9870,"CUSTOMER STATESBURR ON RIGHT SIDE OF STEERING WHEEL, STICH COMING OFF.",REPLACE STEERING WHEEL CLAIM TYPE B 0130 0.5 PRE-REPAIR AUTHORIZATI ON ID-497269600000,WHEEL ASM-STRG *BACKEN BLACKK,FREG,1480.02,108.22,1480.02,CoastalCar Traders,SIGNAL HILL,CA,1
1H1FW6S05N4120118,NONE,"BYT, ELECTRIC, GM, GEM, GEN 2, DRIVE UNIT, X68F",4 Door Sedan,Global Gamma,17,35920,"STEERING WHEEL IS NOT HEATING ANYMORE. LIGHT COMES ON BUT NO HEAT. IF TURNED OFF, AND TRY TO PUT IT BACK ON, THE LIGHT WO NTCOMEON,PLEASE CHECK FAUT FAIRE UNE PREAUTHORISATION AVANT DE CHANGER PIECE faut faire une preauthorisation avant de changer piece","SCANNER TEST, NO TROUBLE CODE. CHECK BULLETIN, NONE. DISASSEMBLE AIR BAG MODULE. DISCONNECT STEERING MODULE. CHECKCURRENTANDGROUND,OK.CONTINUE DIAG.FILES AT THE BASE OF THE HEATER AT THE STEERING ARE USER,OPEN CIRCUIT. ORDER STEERING, PART 10 DAYS. FILLED STEERING WHEEL",WHEEL ASM-STRG *JET BLACK,FREG,359.21,81.84,312.43,PlatinumStar Auto,PINCOURT,PQ,1
3HRFFDER8NH522491,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V","BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",Crew Cab,Full-Size Trucks,22,62183,CS BLEMISH ON STEERING WHEEL SOP IN,0130.5 REPLACE STEERING WHEEL,WHEEL ASM-STRG *JET BLACK,FREG_POL,430.11,86.07,430.11,ApexShore Motors,HOUSTON,TX,1
1HR49RE78SF167912,"GAS, 8 CYL, 6.6L, SIDI, VVT, CAST IRON","BYT 6 SPD, HMD, 6L90",Crew Cab,Full-Size Trucks,9,30941,CUSTOMER STATES STEERING WHEEL LEATHER TRIM IS COMING UN-STITCHED AT THE 6 O'CLOCK POSITION. . .CLAIM APPROVED BY GM(487258100000),REMOVE AND REPLACE STEERING WHEEL,WHEEL ASM-STRG *JET BLACK,FREG,507.32,59.34,507.32,SilverRoad Motors,MANSFIELD,MA,1
1HNSKRKD6RR110090,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",4 Door Utility,Full-Size Utility,2,5666,CUSTOMERS STATES THE STITCHING IS COMING UNDO NE ON THE STEERING,Steering Wheel Replacement,WHEEL ASM-STRG *JET BLACK,FREG,435.26,61.08,435.26,Crestview Auto Sales,MIDLOTHIAN,VA,1
